geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
idn,Indonesia,,,,,0.00106,0.0261,0.0566,0.195,0.255,0.444,0.92556,2.01861,2.13414,2.38702,2.60029,3.60202,4.76481,5.78627,7.9175,6.92,10.92,12.28,14.52,14.94,17.14316,22.06274,25.44735,32.33581,39.90464,47.69065,53.72649,62.10448,66.48461,69.20837,72.78076,
ind,India,,,0.00011,0.00022,0.00107,0.0262,0.0463,0.0708,0.139,0.273,0.52753,0.66015,1.53788,1.68649,1.97614,2.3881,2.8055,3.95,4.38,5.12,7.5,10.07,11.1,12.3,13.5,14.9,16.5,18.2,20.0813,29.5235,43.40544,49.2581,55.9,60.2523,64.9435,70
irl,Ireland,,0.0568,0.17,0.281,0.558,1.11,2.2,4.09,8.1,10.9,17.85047,23.13881,25.85,34.31,36.99,41.61,54.82,61.15832,65.34,67.38,69.85,74.88997,76.91999,78.2477,83.49172,83.49479,83.5,84.11401,87.00014,87.00006,91.99989,93.5061,95.0369,96.8661,97.1877,
irn,Iran,,,,,0.00041,0.00418,0.0158,0.0468,0.0998,0.379,0.93419,1.48422,4.62618,6.93372,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19,22.73,29.95,39.35361,45.33498,53.22677,64.04397,70.20057,72.4509,75.56987,78.59574,81.7165,83.7105,85.3404,
irq,Iraq,,,,,,,,,,,,0.1,0.5,0.6,0.9,0.9,0.95234,0.93,1,1.06,2.5,5,7.1,9.2,11.64533,15.2144,19.8772,25.9692,33.9281,44.32635,53.6778,65.0022,78.71561,81.8089,81.4745,
isl,Iceland,,0.505,1.54,2.67,6.79,11.2,14.8,27.5,36.3,41.3,44.47053,49.393,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.81969,96.2098,96.5468,98.15802,98.2,98.24,98.2552,99.01095,99.50494,99.53275,99.68702,97.5834,97.9486,98.2092,
isr,Israel,0.111,0.215,0.311,0.399,0.577,0.93,2.17,4.4,10.3,13.4,20.87379,17.37862,17.7646,19.59339,22.77049,25.194,27.8811,48.12806,59.39,63.12,67.5,68.87388,70.8,70.25031,75.01775,77.35209,79.65312,81.58118,83.73316,86.78788,90.12734,90.2969,91.8508,87.03843,88.18242,
ita,Italy,0.0175,0.0351,0.0701,0.122,0.192,0.524,1.02,2.28,4.56,14.4,23.11087,27.22212,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.39,55.83,58.4593,55.63846,58.14173,61.32425,63.07735,74.38718,67.85071,70.48343,74.86233,85.06075,87.02783,89.22072,
jam,Jamaica,,,,,0.0368,0.109,0.591,0.798,1.98,2.36,3.11578,3.86302,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67,37.43861,33.79,37.1,40.40274,42.22122,44.36686,55.07207,68.21452,70.84102,76.384,82.36072,85.8433,89.47304,90.1087,
jor,Jordan,,,,,,0.0232,0.0449,0.599,1.31,2.53,2.62328,4.70572,6.02553,8.46601,11.65874,12.9329,13.8671,20,23,26,27.2,34.9,37,41.4,46.2,54.22,56.15,64.5,65.2,70.0847,78.4178,86,90.5,92.53444,95.62245,
jpn,Japan,0.0203,0.0404,0.0967,0.401,0.8,1.59,4.37,9.16,13.4,21.4,29.99074,38.53206,46.5942,48.43527,62.39393,66.92107,68.68527,74.3,75.4,78,78.21,79.05411,79.4964,88.21943,89.10683,91.05803,93.18272,91.72655,88.74635,92.7304,90.21946,82.91408,84.92343,85.0099,85.54153,
kaz,Kazakhstan,,,,,0.00052,0.0113,0.0318,0.0646,0.131,0.464,0.66859,1.00612,1.67477,2.00041,2.65039,2.9617,3.2684,4.02,11,18.2,31.6,50.6,61.90663,63.30422,66,70.82993,74.58773,76.42675,78.90392,81.87762,85.9426,90.92395,92.29685,92.87846,93.39167,
